Label,QualifiedApiName
Account ID,Id
Deleted,IsDeleted
Account,MasterRecordId
Account Name,Name
Type,Type
Account Record Type,RecordTypeId
Parent Account,ParentId
Billing Address,BillingAddress
Property Address,ShippingAddress
Phone,Phone
Fax,Fax
Account Number,AccountNumber
Website,Website
Photo URL,PhotoUrl
SIC Code,Sic
Industry,Industry
Projected Annual Revenue,AnnualRevenue
Employees,NumberOfEmployees
Ownership,Ownership
Ticker Symbol,TickerSymbol
Description,Description
Rating,Rating
Account Site,Site
Account Currency,CurrencyIsoCode
Account Owner,OwnerId
Created Date,CreatedDate
Created By,CreatedById
Last Modified Date,LastModifiedDate
Last Modified By,LastModifiedById
System Modstamp,SystemModstamp
Last Activity,LastActivityDate
Last Viewed Date,LastViewedDate
Last Referenced Date,LastReferencedDate
Object Access Level,UserRecordAccessId
Source System ID,SourceSystemIdentifier
Data.com Key,Jigsaw
Jigsaw Company Id,JigsawCompanyId
Account Source,AccountSource
SIC Description,SicDesc
Operating Hours,OperatingHoursId
Received Connection Name,ConnectionReceivedId
Sent Connection Name,ConnectionSentId
Important,IsPriorityRecord
Total Won Opportunities,Total_Won_Opportunities__c
Activity Age (Days),Days_Since_Activity__c
Annual Molo Revenue,AnnualMoloRevenue__c
Notes,Notes__c
Google Maps Link,Google_Maps_Link__c
Billing Currency,Billing_Currency__c
Account Classification,Account_Classification__c
Other Industry,Other_Industry__c
Storage Auctions,Has_Storage_Auctions__c
NB Company ID,IM_CompanyId__c
Billing Entity,Billing_Entity__c
NB Property ID,IM_InstanceId__c
New Owner (Mass Transfer),NewOwnerMassTransferTool__c
Frontend Link Date,FrontendLinkDate__c
NB Region,IM_Region__c
Service Level,LevelOfService__c
Outlook Create Date,Outlook_Create_Date__c
No Longer Customer,No_Longer_Customer__c
Returned SiteLink,Returned_SiteLink__c
Treatment,AccountTreatment__c
SLPC Last Payment Date,SLPC_Last_Payment_Date__c
SLPC Last Payment Check #,SLPC_Last_Payment_Check__c
SLPC Last Payment Amount,SLPC_Last_Payment_Amount__c
SLPC Last Purchased Feature,SLPC_Last_Purchased_Feature__c
